timestamp,order_id,symbol,side,qty,price,entry_price,notional_usd,profit_usd,profit_pct,portfolio_value_usd,fee_model
2026-03-14T02:11:00.341214+00:00,e5ae3727-c303-4ef1-be69-f326304312fe,AAVE/USD,buy,1.264784,111.7108,,141.29,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-03-14T02:21:16.214539+00:00,c127e2ea-4977-477c-aa33-2a56165ffb1c,UNI/USD,buy,35.990289,3.9258,,141.2907,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-03-14T09:00:03.713436+00:00,2846bee0-f212-43a6-b534-afffbf58c62d,AVAX/USD,buy,15.048681,9.3889,,141.2906,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-03-15T03:34:46.560314+00:00,d913844b-c166-43ae-98d7-146b97640be2,AAVE/USD,sell,1.262886824,113.1452,,142.8896,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-03-15T05:12:31.006606+00:00,3488e637-d3c5-4947-b007-84872ddf0a5d,AAVE/USD,buy,2.171293,110.349,,239.6,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-03-15T09:01:16.613441+00:00,9b7cc508-c79e-4ff3-9867-c124437f9a55,AAVE/USD,sell,2.16803606,113.1452,,245.3029,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-03-15T23:05:00.954152+00:00,ed04aaea-7082-48d9-9bf4-7fc809bdcead,UNI/USD,sell,35.936303566,4.1238,,148.1941,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-03-15T23:06:13.165400+00:00,34495d6c-d599-49a8-bea1-1b6d58934633,AVAX/USD,sell,15.026107978,10.0765,,151.4106,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-03-18T10:32:49.723705+00:00,5c5aa1c7-f46c-412b-b764-c9eb7fc3b765,XRP/USD,buy,70.947251,1.5025,,106.5982,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-03-18T11:35:30.445169+00:00,833b0799-296a-41f6-ac31-ba61d40c989f,AVAX/USD,buy,20.505222,9.9274,,203.5635,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-03-18T12:05:59.718376+00:00,29c524d8-468c-4d32-8ad2-73f07ab20a8a,AAVE/USD,buy,0.735167,116.4996,,85.6467,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-03-18T12:32:50.351405+00:00,5ea7f343-169b-4a46-88e8-d4f8d181f08f,CRV/USD,buy,146.408661,0.2427,,35.5334,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-03-18T14:35:40.318119+00:00,c39d0935-e17a-4032-9318-030067f98231,DOT/USD,buy,79.778032,1.5336,,122.3476,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-03-19T03:17:32.578786+00:00,a65b107c-145d-4415-beec-a9b5449a33ec,AAVE/USD,sell,0.734064249,118.084,,86.6812,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-03-19T03:18:13.113496+00:00,e6e7ef60-2ec0-4f19-b8a2-921606044f3d,DOT/USD,sell,79.658364952,1.5922,,126.832,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-03-19T06:17:51.078202+00:00,da445c05-33d0-4284-bb14-d7dc5bf972c7,XRP/USD,sell,70.840830123,1.5079,,106.8209,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-03-19T07:21:31.014904+00:00,591547df-7c41-40ea-a182-0c3ca1337f20,ADA/USD,buy,574.702594,0.267675,,153.8335,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-03-19T07:59:22.700013+00:00,554b571c-9a01-4e20-b731-e3ed7f639b0a,UNI/USD,buy,53.429199,3.563,,190.3682,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-03-20T03:59:22.109614+00:00,6bee535b-bbe6-4fe2-b60b-361485920c22,AVAX/USD,sell,20.474464,9.7096,,198.7989,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-03-21T02:00:02.149677+00:00,b3c41497-e732-45ac-be1c-12f17157f0ed,UNI/USD,sell,53.349055201,3.59622,,191.8549,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
2026-03-21T02:30:38.652791+00:00,141cc13f-3d72-4e60-b438-8a5796040738,ADA/USD,sell,573.840540109,0.266846,,153.1271,,,,maker 0.15% + $0.25 vast per zijde (fictief Bitvavo-model)
